"Reference","Value","Qty"
"C1","0.1uF","1"
"C2","0.1uF","1"
"C3","0.1uF","1"
"C4","0.1uF","1"
"C5","0.1uF","1"
"C6","0.1uF","1"
"C7","0.1uF","1"
"C8","0.1uF","1"
"C9","0.1uF","1"
"C10","0.1uF","1"
"C11","0.1uF","1"
"C12","0.1uF","1"
"C13","0.1uF","1"
"C14","0.1uF","1"
"C15","0.1uF","1"
"C16","0.1uF","1"
"C17","0.1uF","1"
"C18","0.1uF","1"
"C19","0.1uF","1"
"C20","0.1uF","1"
"C21","0.1uF","1"
"C22","0.1uF","1"
"C23","0.1uF","1"
"C24","0.1uF","1"
"C25","0.1uF","1"
"C26","0.1uF","1"
"C27","0.1uF","1"
"C28","0.1uF","1"
"C29","0.1uF","1"
"C30","0.1uF","1"
"C31","0.1uF","1"
"C32","0.1uF","1"
"C33","0.1uF","1"
"C34","0.1uF","1"
"C35","0.1uF","1"
"C36","0.1uF","1"
"C37","0.1uF","1"
"C38","0.1uF","1"
"C39","0.1uF","1"
"C40","0.1uF","1"
"C41","0.1uF","1"
"C42","0.1uF","1"
"C43","0.1uF","1"
"C44","0.1uF","1"
"C45","0.1uF","1"
"C46","0.1uF","1"
"C47","0.1uF","1"
"C48","0.1uF","1"
"C49","0.1uF","1"
"C50","0.1uF","1"
"C51","0.1uF","1"
"C52","0.1uF","1"
"C53","0.1uF","1"
"C54","0.1uF","1"
"C55","0.1uF","1"
"C56","0.1uF","1"
"C57","0.1uF","1"
"C58","0.1uF","1"
"C59","0.1uF","1"
"C60","0.1uF","1"
"C61","0.1uF","1"
"C62","0.1uF","1"
"C63","0.1uF","1"
"C64","0.1uF","1"
"C65","0.1uF","1"
"C66","0.1uF","1"
"C67","0.1uF","1"
"C68","0.1uF","1"
"C69","0.1uF","1"
"C70","0.1uF","1"
"C71","0.1uF","1"
"C72","0.1uF","1"
"C73","0.1uF","1"
"C74","0.1uF","1"
"C75","0.1uF","1"
"C76","0.1uF","1"
"C77","0.1uF","1"
"C78","0.1uF","1"
"C79","0.1uF","1"
"C80","0.1uF","1"
"C81","0.1uF","1"
"C82","0.1uF","1"
"C83","0.1uF","1"
"C84","0.1uF","1"
"C85","0.1uF","1"
"C86","0.1uF","1"
"C87","0.1uF","1"
"C88","0.1uF","1"
"C89","0.1uF","1"
"C90","0.1uF","1"
"C91","0.1uF","1"
"C92","0.1uF","1"
"C93","0.1uF","1"
"C94","0.1uF","1"
"C95","0.1uF","1"
"C96","0.1uF","1"
"C97","0.1uF","1"
"C98","0.1uF","1"
"C99","0.1uF","1"
"C100","0.1uF","1"
"C101","0.1uF","1"
"C102","0.1uF","1"
"C103","0.1uF","1"
"C104","0.1uF","1"
"C105","0.1uF","1"
"C106","0.1uF","1"
"C107","0.1uF","1"
"C108","0.1uF","1"
"C109","0.1uF","1"
"C110","0.1uF","1"
"C111","0.1uF","1"
"C112","0.1uF","1"
"C113","0.1uF","1"
"C114","0.1uF","1"
"C115","0.1uF","1"
"C116","0.1uF","1"
"C117","0.1uF","1"
"C118","0.1uF","1"
"C119","0.1uF","1"
"C120","0.1uF","1"
"C121","0.1uF","1"
"C122","0.1uF","1"
"D1","SML-E12M8WT86","1"
"D2","CUHS20S30","1"
"D3","WS2812B-2020","1"
"D4","WS2812B-2020","1"
"D5","WS2812B-2020","1"
"D6","WS2812B-2020","1"
"D7","WS2812B-2020","1"
"D8","WS2812B-2020","1"
"D9","WS2812B-2020","1"
"D10","WS2812B-2020","1"
"D11","WS2812B-2020","1"
"D12","WS2812B-2020","1"
"D13","WS2812B-2020","1"
"D14","WS2812B-2020","1"
"D15","WS2812B-2020","1"
"D16","WS2812B-2020","1"
"D17","WS2812B-2020","1"
"D18","WS2812B-2020","1"
"D19","WS2812B-2020","1"
